roll,pitch,yaw,longi,lati,chargeRC,chargeTele,temp,velocity,result
10.04,-35.13,114.36,0.0,0.0,0.02,7.49,22,0,1
130.22,-1.66,163.12,0.0,0.0,0.07,7.63,22,0,1
-32.63,-63.2,254.11,0.0,0.0,0.04,7.42,22,0,1
9.08,-33.62,113.63,0.0,0.0,0.04,7.49,22,0,1
-63.93,-22.2,74.54,0.0,0.0,0.07,6.99,22,0,1
27.16,6.88,183.58,0.0,0.0,0.82,8.48,21,0,0
150.76,23.21,289.41,0.0,0.0,0.16,7.77,22,0,1
3.36,4.55,291.05,0.0,0.0,0.32,7.74,21,0,1
9.93,-35.11,120.22,0.0,0.0,0.02,7.42,22,0,1
3.06,-2.19,220.14,0.0,0.0,0.44,8.24,21,0,1
-107.43,74.1,290.7,0.0,0.0,0.35,8.07,22,0,1
9.53,-33.81,114.38,0.0,0.0,0.04,7.49,22,0,1
3.75,-2.09,217.23,0.0,0.0,0.51,8.29,21,0,1
-74.58,-51.22,181.57,0.0,0.0,0.02,7.25,22,0,1
-30.9,-8.08,179.65,0.0,0.0,0.58,8.31,21,0,1
-101.95,51.37,216.7,0.0,0.0,0.75,8.36,22,0,1
88.61,-32.19,131.31,0.0,0.0,0.04,7.39,22,0,1
4.6,6.65,14.17,0.0,0.0,0.07,7.53,22,0,1
-0.31,6.57,160.85,0.0,0.0,0.54,8.1,22,0,1
-72.25,-12.6,167.0,0.0,0.0,0.02,7.34,22,0,1
-24.48,4.48,231.26,0.0,0.0,0.44,8.12,21,0,1
10.03,-35.4,116.95,0.0,0.0,0.02,7.46,22,0,1
3.89,-2.62,219.09,0.0,0.0,0.47,8.26,21,0,1
3.67,-3.12,220.59,0.0,0.0,1.03,8.66,21,0,0
-24.3,31.93,335.7,0.0,0.0,0.09,7.65,22,0,1
119.83,0.79,166.82,0.0,0.0,0.04,7.51,22,0,1
-25.83,11.05,170.83,0.0,0.0,0.04,7.49,22,0,1
-0.98,3.97,343.96,0.0,0.0,0.07,7.53,22,0,1
9.39,-35.5,123.46,0.0,0.0,0.02,7.44,22,0,1
1.96,-5.19,225.33,0.0,0.0,1.27,8.88,21,0,0
3.31,60.12,53.42,0.0,0.0,0.3,8.03,22,0,1
-43.72,36.68,50.55,0.0,0.0,0.09,7.11,22,0,1
-25.46,17.63,48.72,0.0,0.0,0.09,7.56,22,0,1
10.96,7.81,175.9,0.0,0.0,0.04,7.51,22,0,1
9.07,-35.18,121.18,0.0,0.0,0.04,7.44,22,0,1
-41.54,21.65,254.18,0.0,0.0,2.92,8.29,21,0,1
44.43,-35.05,21.62,0.0,0.0,0.09,7.67,22,0,1
-26.49,-35.27,203.4,0.0,0.0,0.8,8.45,21,0,0
3.6,-3.47,221.04,0.0,0.0,0.77,8.45,21,0,0
3.98,-3.65,220.93,0.0,0.0,0.87,8.62,21,0,0
-9.64,15.67,137.83,0.0,0.0,0.04,7.44,22,0,1
-6.38,2.21,211.38,0.0,0.0,1.41,9.02,21,0,0
20.6,1.03,188.83,0.0,0.0,0.49,8.24,21,0,1
3.53,-1.88,215.98,0.0,0.0,0.54,8.29,21,0,1
-63.3,18.06,326.91,0.0,0.0,0.07,6.92,22,0,1
3.85,-3.58,220.88,0.0,0.0,0.87,8.55,21,0,0
-40.9,-34.28,286.47,0.0,0.0,0.44,8.05,21,0,1
-9.88,-17.45,166.71,0.0,0.0,0.04,7.51,22,0,1
3.93,-2.06,218.2,0.0,0.0,0.47,8.26,21,0,1
-8.07,14.21,106.12,0.0,0.0,0.07,7.51,22,0,1
65.75,-50.85,105.9,0.0,0.0,0.04,7.44,22,0,1
145.21,-32.07,240.37,0.0,0.0,0.07,7.56,22,0,1
60.24,-11.92,336.02,0.0,0.0,0.09,7.77,22,0,1
4.04,-3.4,221.48,0.0,0.0,0.75,8.48,21,0,0
64.55,-8.57,351.72,0.0,0.0,0.09,7.63,22,0,1
175.91,19.87,181.6,0.0,0.0,0.04,7.44,22,0,1
153.42,-21.33,228.17,0.0,0.0,0.04,7.53,22,0,1
-4.03,5.87,91.92,0.0,0.0,0.07,7.51,22,0,1
67.05,-50.64,108.07,0.0,0.0,0.04,7.44,22,0,1
103.46,-21.02,238.49,0.0,0.0,0.09,7.74,22,0,1
9.46,-34.62,135.16,0.0,0.0,0.04,7.42,22,0,1
9.12,-33.93,137.02,0.0,0.0,0.04,7.44,22,0,1
123.76,28.22,297.8,0.0,0.0,0.32,8.05,22,0,1
22.0,-60.98,174.25,0.0,0.0,0.04,7.51,22,0,1
-136.04,-18.79,83.36,0.0,0.0,0.3,7.91,22,0,1
4.08,-2.93,218.21,0.0,0.0,0.47,8.24,21,0,1
